county_FIPS,Dissimilarity,Spatial_Proximity ,Isolation ,Delta,tract_count,year
13047,0.35114884,1.0079316,0.04120423,0.60919835,11,2013
13049,0.30181254,1.25528471,0.34126513,0.37743056,2,2013
13051,0.45694832,1.15516484,0.59999201,0.64311574,70,2013
13053,0.2263667,1.01510463,0.25579231,0.5413339,5,2013
13055,0.4870013,1.08082661,0.23388398,0.71117603,6,2013
13057,0.27679207,1.00545586,0.0911874,0.57970427,26,2013
13059,0.37134658,1.03593327,0.41834256,0.35230033,30,2013
13061,0.0,1.0,0.62100927,0.0,1,2013
13063,0.280138,1.03827098,0.7769665,0.28796511,49,2013
13065,0.11999221,1.00494815,0.29564199,0.3132308,2,2013
13067,0.40460933,1.11979281,0.42317315,0.35481205,120,2013
13069,0.32635643,1.13779017,0.39348753,0.49884532,9,2013
13071,0.39867121,1.17804455,0.39709343,0.64924869,10,2013
13073,0.18597375,1.01110873,0.20506293,0.53486746,20,2013
13075,0.12028653,1.01023694,0.30816148,0.21152284,4,2013
13077,0.35673417,1.06063255,0.3079048,0.53747567,20,2013
13079,0.3876298,1.07886124,0.35975207,0.14549167,3,2013
13081,0.204245,1.03808115,0.48590128,0.31840336,6,2013
13083,0.41884962,1.00322732,0.02143661,0.43585811,4,2013
13085,0.66316731,1.00245455,0.00735294,0.44763643,3,2013
13087,0.35691834,1.02523495,0.51756861,0.62766451,7,2013
13089,0.73231127,1.4689466,0.83269133,0.3497935,144,2013
13091,0.15814073,0.99960397,0.31901918,0.34970231,6,2013
13093,0.08669115,1.00249919,0.5389436,0.14215001,3,2013
13095,0.48429799,1.16723409,0.77412146,0.63963034,27,2013
13097,0.30210432,1.04548272,0.49961807,0.38685644,20,2013
13099,0.19733896,1.01777263,0.54401731,0.26686658,5,2013
